t	x	F(x)	F_approx	Error
5.48	-3.6159999999999997	0.07267269825702434	0.07267269866213488	4.051105423341639e-10
5.49	-3.6079999999999997	0.07185675039275966	0.07185675079483211	4.0207245866064056e-10
5.5	-3.5999999999999996	0.0710362037209967	0.07103620411966895	3.9867224799206014e-10
5.51	-3.5919999999999996	0.07021111075644257	0.07021111115136258	3.949200133579467e-10
5.5200000000000005	-3.5839999999999996	0.06938152430476556	0.06938152469559089	3.908253304318876e-10
5.53	-3.5759999999999996	0.06854749745921522	0.06854749784561412	3.863988989882827e-10
5.54	-3.5679999999999996	0.0677090835972248	0.06770908397887626	3.816514604348953e-10
5.55	-3.5599999999999996	0.06686633637699547	0.0668663367535885	3.765930206567347e-10
5.5600000000000005	-3.5519999999999996	0.06601930973406187	0.06601931010529603	3.712341684058984e-10
5.57	-3.5439999999999996	0.06516805787783983	0.06516805824342542	3.6558558957899834e-10
5.58	-3.5359999999999996	0.0643126352881574	0.06431263564781596	3.596585668175223e-10
5.59	-3.5279999999999996	0.06345309671176852	0.06345309706523228	3.5346375826250664e-10
5.6000000000000005	-3.5199999999999996	0.0625894971588489	0.06258949750586013	3.470112253101121e-10
5.61	-3.5119999999999996	0.06172189189947494	0.061721892239787864	3.4031292367453503e-10
5.62	-3.5039999999999996	0.060850336460086925	0.06085033679346668	3.333797543580985e-10
5.63	-3.4959999999999996	0.05997488661993566	0.05997488694615833	3.2622266693538293e-10
5.64	-3.4880000000000004	0.0590955984075123	0.059095598726364384	3.188520836250319e-10
5.65	-3.4799999999999995	0.05821252809696212	0.058212528408241725	3.1127960625765283e-10
5.66	-3.4719999999999995	0.057325732204483365	0.057325732507999806	3.0351644114690046e-10
5.67	-3.4639999999999995	0.056435267484710665	0.056435267780283974	2.9557330888385636e-10
5.68	-3.4560000000000004	0.05554119092708234	0.055541191214543484	2.8746114516531307e-10
5.69	-3.4479999999999995	0.054643559752192705	0.054643560031383515	2.791908093602302e-10
5.7	-3.4399999999999995	0.053742431408130356	0.053742431678903975	2.707736188045651e-10
5.71	-3.4319999999999995	0.052837863566801924	0.052837863829022474	2.622205508284736e-10
5.72	-3.4240000000000004	0.051929914120240714	0.05192991437378263	2.5354191662829706e-10
5.73	-3.4159999999999995	0.05101864117690118	0.051018641421649344	2.447481661782547e-10
5.74	-3.4079999999999995	0.05010410305794044	0.050104103293791356	2.358509151867416e-10
5.75	-3.3999999999999995	0.04918635829348616	0.04918635852034634	2.2686018341655512e-10
5.76	-3.3920000000000003	0.0482654656188902	0.04826546583667657	2.1778636533076323e-10
5.7700000000000005	-3.3839999999999995	0.047341483970969225	0.04734148417960902	2.0863979294238888e-10
5.78	-3.3759999999999994	0.04641447248423308	0.04641447268366433	1.9943124929255873e-10
5.79	-3.3679999999999994	0.04548449048710073	0.045484490677271255	1.901705251605712e-10
5.8	-3.3600000000000003	0.044551597498102745	0.044551597678970156	1.808674113257247e-10
5.8100000000000005	-3.3519999999999994	0.043615853222071795	0.0436158533936035	1.7153170550621155e-10
5.82	-3.3439999999999994	0.04267731754632193	0.04267731770849591	1.621739756374474e-10
5.83	-3.3359999999999994	0.04173605053681627	0.04173605068961935	1.5280308268694753e-10
5.84	-3.3280000000000003	0.040792112434322333	0.040792112577751095	1.4342876192285914e-10
5.8500000000000005	-3.3199999999999994	0.03984556365055628	0.039845563784616206	1.3405992288495483e-10
5.86	-3.3119999999999994	0.03889646476431697	0.03889646488902333	1.2470636329142692e-10
5.87	-3.3039999999999994	0.03794487651760938	0.037944876632985854	1.1537647226500525e-10
5.88	-3.2960000000000003	0.03699085981175669	0.036990859917835885	1.0607919403993193e-10
5.89	-3.2880000000000003	0.03603447570350224	0.03603447580032532	9.68230842723905e-11
5.9	-3.2799999999999994	0.035075785401102295	0.035075785488719056	8.76167610686096e-11
5.91	-3.2719999999999994	0.03411485026040918	0.034114850338877685	7.84685025290166e-11
5.92	-3.2640000000000002	0.03315173178094413	0.03315173185033027	6.93861357259351e-11
5.93	-3.2560000000000002	0.03218649160196087	0.0321864916623383	6.037743222053749e-11
5.94	-3.2479999999999993	0.031219191498501164	0.031219191549951286	5.14501219406327e-11
5.95	-3.2399999999999993	0.030249893377441682	0.030249893420053704	4.2612021550203494e-11
5.96	-3.232	0.029278659273531533	0.02927865930740134	3.386980626518543e-11
5.97	-3.224	0.02830555134542164	0.02830555137065238	2.523073763804895e-11
5.98	-3.2159999999999993	0.027330631871687036	0.02733063188838873	1.6701695582099774e-11
5.99	-3.2079999999999993	0.026353963246841475	0.026353963255130904	8.289428171659452e-12
6.0	-3.1999999999999993	0.0253756079773438	0.025375607977343805	3.469446951953614e-18
6.01	-3.192	0.0243956286775971	0.02439562866943676	8.160340458918114e-12
6.0200000000000005	-3.1839999999999993	0.02341408806594184	0.023414088049756095	1.6185743717533896e-11
6.03	-3.1759999999999993	0.022431048960642345	0.022431048936572523	2.40698225240088e-11
6.04	-3.1679999999999993	0.02144657427586604	0.02144657424405777	3.180827129467545e-11
6.05	-3.16	0.020460727017656496	0.020460726978261668	3.939482767778557e-11
6.0600000000000005	-3.1519999999999992	0.019473570279901514	0.019473570233076644	4.682487036999916e-11
6.07	-3.1439999999999992	0.018485167240295586	0.01848516718620231	5.4093274998168184e-11
6.08	-3.1359999999999992	0.017495581156296083	0.0174955810951003	6.119578455088259e-11
6.09	-3.128	0.016504875361074395	0.01650487529294643	6.812796507493779e-11
6.1000000000000005	-3.119999999999999	0.015513113259463028	0.015513113184577565	7.488546241440908e-11
6.11	-3.111999999999999	0.014520358323898187	0.01452035824243337	8.146481579596188e-11
6.12	-3.103999999999999	0.013526674090357108	0.013526674002495286	8.78618219846139e-11
6.13	-3.096	0.012532124154291342	0.012532124060217921	9.407342092815352e-11
6.140000000000001	-3.087999999999999	0.011536772166557104	0.01153677206646077	1.0009633399921114e-10
6.15	-3.079999999999999	0.01054068182934208	0.010540681723414495	1.0592758614702547e-10
6.16	-3.071999999999999	0.00954391689208808	0.00954391678052388	1.1156420058611172e-10
6.17	-3.064	0.008546541147410635	0.008546541030406668	1.170039672787615e-10
6.18	-3.056	0.00754861842701697	0.007548618304772737	1.222442329654183e-10
6.19	-3.047999999999999	0.006550212597620122	0.006550212470337532	1.2728259071725923e-10
6.2	-3.039999999999999	0.0055513875568532715	0.0055513874247350836	1.321181879176958e-10
6.21	-3.032	0.004552207229177651	0.004552207092428832	1.3674881886582835e-10
6.22	-3.024	0.00355273556179318	0.0035527354206202166	1.4117296351021102e-10
6.23	-3.015999999999999	0.002553036520544975	0.0025530363751558225	1.4538915254005969e-10
6.24	-3.007999999999999	0.0015531740858313338	0.0015531739364340643	1.49397269512061e-10
6.25	-3.0	0.0005532122485063482	0.0005532120953108398	1.5319550836223605e-10
6.26	-2.992	-0.00044678499421371237	-0.00044678515099763063	1.5678391825915336e-10
6.2700000000000005	-2.983999999999999	-0.0014467536428470896	-0.001446753803008513	1.6016142340320727e-10
6.28	-2.975999999999999	-0.0024466296997407047	-0.002446629863069694	1.6332898922222228e-10
6.29	-2.968	-0.003446349173168651	-0.0034463493394543783	1.6628572737514835e-10
6.3	-2.96	-0.004445848081425866	-0.004445848250458263	1.6903239745402754e-10
6.3100000000000005	-2.951999999999999	-0.0054450624569238265	-0.0054450626284922345	1.7156840791815453e-10
6.32	-2.943999999999999	-0.006443928350282677	-0.0064439285241782145	1.7389553772645394e-10
6.33	-2.936	-0.0074423818344266325	-0.007442382010440576	1.7601394387140035e-10
6.34	-2.928	-0.008440359008673513	-0.00844035918659829	1.7792477734202006e-10
6.3500000000000005	-2.919999999999999	-0.00943779600282525	-0.009437796182453866	1.7962861580123057e-10
6.36	-2.911999999999999	-0.010434628981253791	-0.010434629162381574	1.8112778291112797e-10
6.37	-2.904	-0.011430794146989212	-0.011430794329412509	1.8242329695439263e-10
6.38	-2.896	-0.012426227745800928	-0.012426227929317933	1.835170054115265e-10
6.390000000000001	-2.887999999999999	-0.013420866070278831	-0.013420866254688496	1.8440966462196506e-10
6.4	-2.879999999999999	-0.014414645463908773	-0.014414645649013303	1.8510453066167276e-10
6.41	-2.872	-0.015407502325149215	-0.01540750251075263	1.856034145819585e-10
6.42	-2.864	-0.01639937311149993	-0.01639937329740825	1.8590831998843704e-10
6.43	-2.856	-0.01739019434356937	-0.017390194529591372	1.860220033567117e-10
6.44	-2.847999999999999	-0.01837990260913666	-0.018379902795083548	1.8594688636075496e-10
6.45	-2.84	-0.019368434567210407	-0.019368434752895586	1.856851790382752e-10
6.46	-2.832	-0.02035572695208293	-0.020355727137323868	1.8524093717275925e-10
6.47	-2.824	-0.021341716577378815	-0.02134171676199474	1.846159232432587e-10
6.48	-2.815999999999999	-0.02232634034009837	-0.022326340523912334	1.8381396404976158e-10
6.49	-2.808	-0.023309535224656647	-0.02330953540749487	1.8283822372788805e-10
6.5	-2.8	-0.02429123830691685	-0.024291238488608792	1.8169194274109124e-10
